cluster,income
-1,0
0,146636
1,167841
2,91250
3,128688
4,119538
5,152981
6,202500
7,161670
8,240500
9,168012
10,136507
11,99308
12,194266
13,135385
14,77829
15,58906
16,25738
17,130666
18,190781
19,84952
20,74496
21,78243
22,0
23,23038
24,53701
25,0
26,53701
27,0
28,0
29,72566
30,85833
31,0
32,41968
33,87788
34,116932
35,77660
36,0
37,0
38,3431
39,0
40,67798
41,47218
42,85841
43,92315
44,128571
45,0
46,66674
47,0
48,136214
49,77038
50,114063
51,23319
52,47569
53,45378
54,41537
55,250001
56,36552
57,47019
58,77072
59,93611
60,53900
61,173750
62,46915
63,46577
64,114076
65,54743
66,96771
67,66250
68,87604
69,116435
70,211250
71,144031
72,74080
73,76139
74,136237
75,103781
76,104524
77,0
78,186250
79,250001
80,250001
81,142213
82,96875
83,96875
84,174659
85,163517
86,125278
87,250001
88,213889
89,141172
90,82955
91,164903
92,145694
93,250001
94,144036
95,104853
96,124271
97,124911
98,127552
99,153448
100,134036
101,144444
102,94567
103,121818
104,153810
105,250001
106,111250
107,229083
108,121818
109,176510
110,120682
111,191444
112,250001
113,189867
114,113345
115,229250
116,143487
117,73897
118,104550
119,90679
120,68484
121,212266
122,173685
123,130208
124,99647
125,67102
126,199097
127,211250
128,87254
129,0
130,106932
131,49028
132,129028
133,154375
134,85000
135,36518
136,42957
137,21979
138,50076
139,44162
140,56288
141,52656
142,69188
143,150588
144,127188
145,110476
146,74219
147,83917
148,39205
149,237273
150,65250
151,130666
152,167788
153,69238
154,121752
155,165767
156,173896
157,65637
158,29038
159,73427
160,82585
161,38391
162,116570
163,59915
164,73881
165,195118
166,120810
167,202500
168,109663
169,117208
170,179816
171,164290
172,195989
173,136278
174,139984
175,201886
176,159607
177,113354
178,179816
179,136181
180,213998
181,170938
182,124821
183,109663
184,202500
185,215900
186,208852
187,176906
188,250001
189,238634
190,224293
191,120244
192,234167
193,192572
194,224293
195,198813
196,224861
197,229645
198,0
199,166250
200,240877
201,180000
202,250001
203,233038
204,0
205,250001
206,250001
207,195197
208,202500
209,202500
210,202500
211,201574
212,250001
213,247258
214,125313
215,108244
216,124650
217,154669
218,169260
219,193512
220,162662
221,135047
222,88182
223,46607
224,148843
225,115366
226,128901
227,90683
228,89091
229,116719
230,64948
231,144519
232,129882
233,133365
234,105577
235,95470
236,128688
237,110661
238,113928
239,91250
240,250001
241,221830
242,178750
243,91250
244,98036
245,139865
246,120506
